id,sepal_length,sepal_width,petal_length,petal_width,species
1,5.138727943325924,3.47011771112961,1.4410153514489326,1.0948729954150243,setosa
2,4.849872793553541,3.034930743107808,1.414931481922581,0.9686870070586727,setosa
3,4.715842839641495,3.2390825459347665,1.295308599386309,1.0066430360745642,setosa
4,4.603747426813939,,1.4806161166818648,1.0023435676326218,setosa
5,4.98874377808404,3.6450493629664487,1.41752678578741,1.1229468645998857,setosa
6,5.430820617059917,3.884072942055709,1.6995340757496937,1.3707076193470564,setosa
7,4.533065168409816,3.3968214269536037,1.4142563961609116,1.1587096208456753,setosa
8,5.0149179362128935,3.4446515039604932,1.4933517687898359,1.056730721850014,setosa
9,4.421670832599116,2.867538692328463,1.405121760673396,0.9202991801977132,setosa
10,4.899292429509762,3.105539141004503,1.5216695502387005,0.8908311520769261,setosa
11,5.401130546848011,3.6953196269848836,1.4690636164413615,1.103205651040462,setosa
12,4.813839417196855,3.4029747140046838,1.6735808746794034,1.0997975949541066,setosa
13,4.804784269105103,3.00080004973734,1.4015227251200788,0.8512151625143876,setosa
14,4.270280933041826,2.953203367771746,1.0648239124791792,0.8148501169290558,setosa
15,5.833275390187227,4.018891563525614,1.163901351906397,1.1806571254856681,setosa
16,5.705057283166173,4.394664721281694,1.4910067324614082,1.492670668628029,setosa
17,5.380335300282371,3.9090816092175222,1.294006514092276,1.3732747450325646,setosa
18,5.114664697129418,3.4897767087503926,1.3920749105783503,1.1671607842398317,setosa
19,5.692802092561116,3.767802810406466,1.6945864993043138,1.2383417021378258,setosa
20,5.112655960813271,3.8554346185717283,1.53059999394847,1.2842586506085787,setosa
21,5.437373384367262,3.3924306636380908,1.6782300144034414,1.0335943421784837,setosa
22,5.084892010815752,3.6729657715700545,1.4949605379888842,1.31488180155177,setosa
23,4.575441195459719,3.602435523754239,1.0128290865511287,1.1091616053059787,setosa
24,5.05638749937159,3.2696894087780812,1.659458454655296,1.290394655298051,setosa
25,4.790116413030808,3.396676289693985,1.8930736132545176,1.0445514812598415,setosa
26,4.9720660505350684,2.995464220581052,1.5858805708955452,0.9394531024089599,setosa
27,4.983645241003501,3.401996034375142,1.6397653069050009,1.2770092131971194,setosa
28,5.210810149173467,3.560722098111629,1.4939208978713503,1.0861277897754742,setosa
29,5.163996557549994,3.356593314222559,1.3775727314121833,1.024196816163762,setosa
30,4.684306838419156,3.199557842945522,1.5511655361089054,0.9673331514756507,setosa
31,4.7843113685694645,3.162645712602968,1.5543949640105899,0.9602580708244686,setosa
32,5.361411771912236,3.380784386279171,1.5221357694548938,1.2599532762063888,setosa
33,5.250460434963949,4.12808549739389,1.5195452366208833,1.145051532095728,setosa
34,5.53614768031193,4.172415054625533,1.4658465538845207,1.2870014662460638,setosa
35,4.938796266875871,3.1109615944035727,1.417281250510637,0.9225945656079846,setosa
36,5.019176231811,3.1440838385956744,1.2582592088673532,1.0248604322271542,setosa
37,5.454905630197788,3.5057064259089787,1.3236918523126613,1.0922211746856856,setosa
38,4.902658858272724,3.5825065950544395,1.448342839421628,1.0278552083780286,setosa
39,4.403799959022778,3.0146752641394494,1.2908609071623485,0.947576087476428,setosa
40,5.058810596312805,3.44789924524817,1.4536190299934553,1.0310541646410125,setosa
41,5.00411584728429,3.4830179376499495,1.288552262587444,1.1631226594707833,setosa
42,4.480819608955155,2.2806868234911204,1.3176636034263776,0.881947441490365,setosa
43,4.392746793565107,3.218095577273135,1.289590640519222,0.9975843213310982,setosa
44,4.972635863560087,3.4749264944886633,1.6146753276976549,1.4785151754206025,setosa
45,5.089127713933228,3.7969904364361975,1.910655327077202,1.356351160493851,setosa
46,4.745135196443337,2.976128059081305,1.3964668416595412,1.041676575876687,setosa
47,5.110377793805553,3.8067377656873953,1.6093400139241212,1.1579111173712628,setosa
48,4.56153114093167,3.1785984582574924,1.2944369996883822,0.9242742810232946,setosa
49,5.351656019835636,3.6975372487817846,1.4709318885814373,1.1050055712497378,setosa
50,4.997174068881551,3.2899020958847855,1.4404284565138818,1.0494278283137843,setosa
51,7.018133197561157,3.1692426101262123,4.732251330254924,2.213811539368169,versicolor
52,6.423350313704303,3.203564031351159,4.4555258193973595,2.2712415541026965,versicolor
53,6.898297964917739,3.093578843221815,4.851351518656501,2.2409623899097877,versicolor
54,5.442775190226198,2.3409283391903193,4.027837977207209,,versicolor
55,6.513922247555394,2.821982408701921,4.6079364809218575,2.210786589456719,versicolor
56,5.7270003592034415,2.836627906612383,4.497275235385975,2.0073404669104122,versicolor
57,6.284746429391871,3.30440882061306,4.668906518626439,2.405373217570891,versicolor
58,4.8774378775280285,2.365874474038298,3.2327769552033314,1.5466532553117958,versicolor
59,6.589836735870722,2.8590173773381697,4.586360617977833,2.0056614229864316,versicolor
60,5.212614769311179,2.6690957530516695,3.9303932621071294,2.0875361130010037,versicolor
61,4.977665494855568,2.0250990113133103,3.4679211145980484,1.4848888292270264,versicolor
62,5.8794973713293865,,4.181942046560101,2.259954321281721,versicolor
63,5.976273807881613,2.2150780325964416,3.986306753482466,1.544640677137421,versicolor
64,6.102093514877702,2.86856216760434,4.655371615119361,2.0873882853139927,versicolor
65,5.653326659855707,2.876432513560816,3.5951348868256905,2.0158647196073307,versicolor
66,6.688585125337139,3.0733096489817706,4.424308043750907,2.1845327747460472,versicolor
67,5.633987913827415,3.0351564614962276,4.553227762224853,2.294274290190626,versicolor
68,5.809687959715773,2.669063822209566,4.111927697403906,1.6752177538216624,versicolor
69,6.175565698007465,2.2257272594911077,4.492530506567261,2.051452152584285,versicolor
70,5.573533393136707,2.4987655272302813,3.8727711222609265,1.7065387966481882,versicolor
71,5.886116372332406,3.165073141283647,4.801182760782312,2.5920567925091196,versicolor
72,6.090709380231341,2.7269192576473533,4.008766324498234,1.9875740307439946,versicolor
73,6.280199418924219,2.485716978397059,4.885748599832185,2.1119283111540543,versicolor
